Date,Close-Last,Volume,Open,High,Low
2023-12-27,151.91,5337244,152.27,152.97,151.34
2023-12-28,149.77,8147993,151.18,152.02,149.4
2023-12-29,149.16,7658638,150.03,150.23,148.67
2024-01-02,149.48,8879710,149.985,151.475,149.24
2024-01-03,152.33,10255280,149.39,153.19,148.68
2024-01-04,150.66,8220280,153.66,154.35,150.59
2024-01-05,150.4,7455430,151.98,152.03,149.83
2024-01-08,149.5,10038190,148.42,149.695,146.58
2024-01-09,145.7,11784670,149.95,149.95,145.59
2024-01-10,144.5,8490407,146.02,146.02,144.11
2024-01-11,145.28,8612493,145.56,146.17,144.62
2024-01-12,147.27,9386923,147.83,148.5,146.17
2024-01-16,143.69,9380352,146.515,146.58,143.58
2024-01-17,143.12,8167002,142.42,144.02,142.04
2024-01-18,141.82,11187840,143,143.19,139.62
2024-01-19,142.24,11192460,141.73,142.25,141.01
2024-01-22,142.49,9184626,141.91,142.66,140.92
2024-01-23,142.09,6767179,141.985,143.33,141.9
2024-01-24,144.92,8100014,142.7,144.98,142.221
2024-01-25,148.57,9773620,146.22,148.69,145.225
2024-01-26,149.14,9151896,148.03,149.26,146.98
2024-01-29,149.08,10494820,149.09,149.22,147.11
2024-01-30,150.12,9902881,148.18,150.3056,147.71
2024-01-31,147.43,10427970,150.37,150.38,147.34
2024-02-01,147.89,8138669,148.19,149.02,146.52
2024-02-02,152.24,12839060,150.86,153.38,149.55
2024-02-05,152.33,8277776,151.62,153.51,150.7904
2024-02-06,152.35,6198841,152.5,153.54,151.81
2024-02-07,152.13,6252041,153.02,153.78,151.17
2024-02-08,154.06,9236968,151.95,154.3,151.65
2024-02-09,151.04,9194458,154.42,155.32,150.98
2024-02-12,152.08,6713003,151.62,152.6137,151.39
2024-02-13,150.6,6987058,152.62,153.07,149.605
2024-02-14,151.01,5995064,151.28,152.2,150.08
2024-02-15,154.46,8950304,149.91,155.09,149.67
2024-02-16,154.63,7570220,155.37,155.77,154.09
2024-02-20,154,6977945,155.47,155.61,153.83
2024-02-21,155.44,6630084,154.57,155.565,154.1
2024-02-22,155.43,8874924,154.82,156.625,153.83
2024-02-23,154.66,6561628,154.87,154.92,153.25
2024-02-26,154.45,6900801,154.54,155.55,153.83
2024-02-27,152.16,15093760,153.2,153.88,149.9
2024-02-28,152.34,6715861,152.358,153.86,151.78
2024-02-29,152.01,9334432,152.91,153.24,151.48
2024-03-01,152.81,7459056,153.05,154.3499,152.25
2024-03-04,148.88,12503150,152.5,152.59,147.67
2024-03-05,149.59,6985516,148.83,150.62,148.3
2024-03-06,148.33,14692140,150.83,152.41,148.14
2024-03-07,149.37,8739348,148.5,150.7495,148.45
2024-03-08,149.88,7528378,149.37,149.99,148.39
2024-03-11,152,7577064,150.5,152.08,149.59
2024-03-12,151.89,6432930,151.83,152.57,150.79
2024-03-13,153.89,8065649,153.24,154.88,153.15
2024-03-14,155.7,9047206,153.77,155.73,152.76
2024-03-15,155.55,20387160,155.19,157.04,154.42
2024-03-18,155.41,7242711,156.03,156.67,154.944
2024-03-19,156.62,7736723,155.3,156.84,155.01
2024-03-20,154.55,8449145,155.76,156.43,154.23
2024-03-21,154.86,7899084,154.95,155.69,154.41
2024-03-22,154.66,5974745,155.08,155.28,154.16
2024-03-25,156.47,6058745,155.48,157.31,155.27
2024-03-26,155.27,6677938,156.52,156.86,154.65
